trade_id,factor_name,factor_value,factor_threshold,contribution
d6l79yjy,rsi_14,56.16,70,-0.85
d6l79yjy,atr_mult,15.07,2.5,-0.39
d6l79yjy,macd_hist,19.20,,-0.69
lc8cg0yr,rsi_14,88.53,70,0.33
lc8cg0yr,atr_mult,58.22,2.5,-0.89
fyhlc858,rsi_14,50.81,30,-0.79
fyhlc858,atr_mult,17.33,2.5,-0.65
fyhlc858,macd_hist,69.97,,0.51
fyhlc858,vwap_dist,24.45,,-0.33
07nfy7ke,rsi_14,25.63,70,-0.89
07nfy7ke,atr_mult,68.16,2.5,0.36
07nfy7ke,macd_hist,73.44,,-0.73
07nfy7ke,vwap_dist,49.80,,0.71
pqzcmqy2,rsi_14,60.25,70,0.53
pqzcmqy2,atr_mult,66.24,2.5,-0.73
c5hkj1r8,rsi_14,49.42,30,0.64
c5hkj1r8,atr_mult,39.53,2.5,-0.52
c5hkj1r8,macd_hist,29.89,,0.76
c5hkj1r8,vwap_dist,68.01,,-0.40
95xsr6qi,rsi_14,64.95,30,0.82
95xsr6qi,atr_mult,21.61,2.5,-0.73
2q24xonb,rsi_14,63.17,30,0.86
2q24xonb,atr_mult,77.36,2.5,0.82
j6qbmllj,rsi_14,55.13,70,-0.74
j6qbmllj,atr_mult,27.73,2.5,-0.56
j6qbmllj,macd_hist,66.29,,-0.53
7wlrz1b8,rsi_14,50.46,70,-0.03
7wlrz1b8,atr_mult,46.06,2.5,-0.33
7wlrz1b8,macd_hist,62.54,,0.59
xcvuu5sg,rsi_14,45.50,30,0.87
xcvuu5sg,atr_mult,43.84,2.5,0.53
757c8m5q,rsi_14,50.47,30,-0.45
757c8m5q,atr_mult,54.33,2.5,0.13
757c8m5q,macd_hist,50.45,,0.17
757c8m5q,vwap_dist,46.24,,-0.17
87t4l11i,rsi_14,45.42,30,0.50
87t4l11i,atr_mult,63.30,2.5,0.59
qh6vqo3o,rsi_14,37.02,70,0.73
qh6vqo3o,atr_mult,64.44,2.5,-0.31
qh6vqo3o,macd_hist,84.80,,0.80
qh6vqo3o,vwap_dist,83.68,,-0.99
z5nascbl,rsi_14,83.34,70,-0.25
z5nascbl,atr_mult,12.79,2.5,-0.54
z5nascbl,macd_hist,83.14,,-0.55
n4fhtpni,rsi_14,67.48,30,0.82
n4fhtpni,atr_mult,24.36,2.5,-0.28
