trade_id,status,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,pnl_raw,pnl_rel,mae,mfe,slippage,commission,rejection_reason,strategy_id,model_version
d6l79yjy,executed,short,1711143000000,1711169100000,44268.58,44381.37,44368.58238039124,44068.58238039124,0.34,-112.79,-1.13,35.53,39.54,0.76,0.68,,alpha_v2,v2.1.0
lc8cg0yr,executed,short,1711300500000,1711326600000,44574.46,44617.55,44674.4555586463,44374.4555586463,1.40,-43.09,-0.43,40.32,53.68,1.61,2.80,,alpha_v2,v2.1.0
fyhlc858,executed,long,1708953300000,1708983000000,45672.22,45531.76,45572.221080138566,45872.221080138566,1.45,-140.46,-1.40,38.65,103.98,1.73,2.90,,alpha_v2,v2.1.0
07nfy7ke,executed,short,1708578000000,1708591500000,46071.59,45809.78,46171.59180299414,45871.59180299414,1.19,261.81,2.62,74.87,80.51,1.67,2.38,,alpha_v2,v2.1.0
pqzcmqy2,executed,short,1706434200000,1706462100000,44533.08,44650.02,44633.0829243643,44333.0829243643,1.20,-116.94,-1.17,75.30,87.24,2.90,2.40,,alpha_v2,v2.1.0
c5hkj1r8,executed,long,1706561100000,1706571900000,45413.96,45401.65,45313.95627695031,45613.95627695031,0.64,-12.31,-0.12,56.00,122.36,1.53,1.28,,alpha_v2,v2.1.0
95xsr6qi,executed,long,1706966100000,1706978700000,45757.03,45828.55,45657.02735174544,45957.02735174544,1.51,71.52,0.72,79.00,117.61,0.67,3.02,,alpha_v2,v2.1.0
2q24xonb,executed,long,1711298700000,1711323900000,44570.42,44529.04,44470.41620873051,44770.41620873051,0.13,-41.38,-0.41,18.43,127.81,0.82,0.26,,alpha_v2,v2.1.0
j6qbmllj,executed,short,1710378900000,1710406800000,45602.63,45483.07,45702.630593898604,45402.630593898604,2.37,119.56,1.20,44.50,100.73,1.28,4.74,,alpha_v2,v2.1.0
7wlrz1b8,rejected,short,1711304100000,,44510.93,44638.07,44610.92776636941,44310.92776636941,1.06,-127.14,,,,,,atr_limit,alpha_v2,v2.1.0
xcvuu5sg,executed,long,1708518600000,1708533900000,46012.58,46243.05,45912.5829361174,46212.5829361174,2.15,230.47,2.30,45.95,89.87,1.03,4.30,,alpha_v2,v2.1.0
757c8m5q,executed,long,1709244000000,1709257500000,45517.49,45632.70,45417.48673699672,45717.48673699672,0.29,115.21,1.15,14.60,131.23,1.72,0.58,,alpha_v2,v2.1.0
87t4l11i,rejected,long,1709872200000,,46250.74,46236.18,46150.7416031919,46450.7416031919,0.21,-14.57,,,,,,time_of_day,alpha_v2,v2.1.0
qh6vqo3o,rejected,short,1707317100000,,45610.72,45702.64,45710.72169595132,45410.72169595132,1.73,-91.92,,,,,,time_of_day,alpha_v2,v2.1.0
z5nascbl,executed,short,1706221800000,1706223600000,44331.13,44349.47,44431.12846570769,44131.12846570769,0.86,-18.34,-0.18,73.17,146.90,0.78,1.72,,alpha_v2,v2.1.0
n4fhtpni,executed,long,1710176400000,1710191700000,45118.48,45063.20,45018.476309324804,45318.476309324804,1.64,-55.27,-0.55,70.56,25.31,2.09,3.28,,alpha_v2,v2.1.0
qw0w6lqs,executed,short,1705020300000,1705050900000,44955.31,45092.91,45055.30653628566,44755.30653628566,1.65,-137.60,-1.38,28.84,136.60,1.52,3.30,,alpha_v2,v2.1.0
2qeg86kw,executed,long,1712574900000,1712608200000,47144.18,47038.78,47044.180860326574,47344.180860326574,0.69,-105.40,-1.05,34.46,145.92,1.31,1.38,,alpha_v2,v2.1.0
p9n52pqm,executed,short,1707471000000,1707477300000,45567.74,45668.77,45667.74171697083,45367.74171697083,0.42,-101.03,-1.01,60.67,29.09,2.75,0.84,,alpha_v2,v2.1.0
1iyocqzk,executed,short,1712110500000,1712143800000,45631.46,45395.31,45731.46040005645,45431.46040005645,2.30,236.15,2.36,10.76,99.19,2.40,4.60,,alpha_v2,v2.1.0
mbci2j10,executed,long,1712593800000,1712597400000,47046.62,47101.58,46946.62126672014,47246.62126672014,1.07,54.96,0.55,24.55,80.87,0.63,2.14,,alpha_v2,v2.1.0
i7t6dhnz,rejected,long,1704136500000,,44999.62,45288.31,44899.62150327129,45199.62150327129,2.18,288.69,,,,,,atr_limit,alpha_v2,v2.1.0
elg6vdro,executed,short,1711248300000,1711255500000,44736.77,44837.65,44836.76584674357,44536.76584674357,0.92,-100.89,-1.01,44.54,93.72,0.53,1.84,,alpha_v2,v2.1.0
a4ryk4ue,executed,long,1709759700000,1709792100000,46400.31,46698.56,46300.310125821474,46600.310125821474,0.26,298.25,2.98,72.15,125.12,2.00,0.52,,alpha_v2,v2.1.0
dg8raj72,executed,long,1706652900000,1706658300000,45368.92,45525.31,45268.91753866643,45568.91753866643,2.01,156.39,1.56,10.68,100.98,2.28,4.02,,alpha_v2,v2.1.0
hpvqxaqj,executed,short,1708967700000,1708985700000,45702.34,45769.08,45802.336986695635,45502.336986695635,0.72,-66.74,-0.67,78.20,50.73,1.79,1.44,,alpha_v2,v2.1.0
c9432rdf,rejected,long,1706120100000,,44242.78,44221.02,44142.77717669801,44442.77717669801,0.64,-21.76,,,,,,time_of_day,alpha_v2,v2.1.0
w9kvcer9,rejected,short,1704853800000,,45067.96,45207.12,45167.96179040522,44867.96179040522,2.23,-139.16,,,,,,time_of_day,alpha_v2,v2.1.0
y062hjda,executed,long,1709506800000,1709535600000,45860.87,45826.49,45760.87298989603,46060.87298989603,1.29,-34.38,-0.34,26.14,142.37,2.76,2.58,,alpha_v2,v2.1.0
qyns68rv,executed,short,1712920500000,1712936700000,46963.28,46833.26,47063.282255250095,46763.282255250095,1.10,130.02,1.30,45.65,95.36,1.29,2.20,,alpha_v2,v2.1.0
isatcckc,rejected,long,1709108100000,,45883.60,46065.55,45783.603533413014,46083.603533413014,1.32,181.95,,,,,,time_of_day,alpha_v2,v2.1.0
rjripd6p,executed,long,1709277300000,1709291700000,45760.28,45706.02,45660.283135751844,45960.283135751844,2.49,-54.26,-0.54,50.13,73.20,2.80,4.98,,alpha_v2,v2.1.0
bh593lw1,rejected,short,1707930900000,,45933.58,45982.83,46033.57698508567,45733.57698508567,1.42,-49.25,,,,,,time_of_day,alpha_v2,v2.1.0
5gglqjx0,executed,short,1711617300000,1711640700000,44923.28,44759.43,45023.279369177726,44723.279369177726,0.33,163.85,1.64,56.33,143.13,2.03,0.66,,alpha_v2,v2.1.0
od9xxw1d,rejected,long,1709881200000,,46203.16,46466.03,46103.1629231186,46403.1629231186,2.05,262.87,,,,,,htf_alignment,alpha_v2,v2.1.0
2a3j4zy8,rejected,long,1707737400000,,44849.94,44812.38,44749.9388712867,45049.9388712867,0.87,-37.56,,,,,,htf_alignment,alpha_v2,v2.1.0
pc9zlv2b,executed,short,1706186700000,1706215500000,44240.72,44300.72,44340.715611488704,44040.715611488704,2.06,-60.00,-0.60,45.71,91.65,2.93,4.12,,alpha_v2,v2.1.0
9xww5gai,rejected,short,1711815300000,,45014.34,44846.81,45114.34246063332,44814.34246063332,1.82,167.53,,,,,,spread_filter,alpha_v2,v2.1.0
ls4lfplp,executed,long,1707455700000,1707464700000,45700.53,45769.14,45600.52858016759,45900.52858016759,1.14,68.62,0.69,12.56,47.11,2.98,2.28,,alpha_v2,v2.1.0
cgdseqj3,executed,long,1704376800000,1704405600000,44863.92,44786.45,44763.923755968826,45063.923755968826,1.96,-77.47,-0.77,61.81,111.90,1.02,3.92,,alpha_v2,v2.1.0
i8ji30lo,executed,short,1707421500000,1707425100000,45826.99,45725.92,45926.98860695514,45626.98860695514,1.13,101.07,1.01,64.11,63.03,1.25,2.26,,alpha_v2,v2.1.0
tunt40yc,executed,long,1711708200000,1711710900000,44933.76,45229.07,44833.762189657995,45133.762189657995,0.61,295.31,2.95,29.92,24.62,1.10,1.22,,alpha_v2,v2.1.0
7pwz5hdt,executed,short,1708702200000,1708731000000,45620.80,45703.55,45720.80213713757,45420.80213713757,0.18,-82.75,-0.83,28.31,98.21,2.09,0.36,,alpha_v2,v2.1.0
7p83d1jq,rejected,long,1704518100000,,45225.71,45451.04,45125.70583774686,45425.70583774686,1.53,225.33,,,,,,spread_filter,alpha_v2,v2.1.0
dn03rnud,rejected,long,1707024600000,,45747.50,45639.98,45647.495678194864,45947.495678194864,0.39,-107.51,,,,,,time_of_day,alpha_v2,v2.1.0
fsrqfar8,executed,short,1709841600000,1709855100000,46291.49,46320.93,46391.49116448797,46091.49116448797,0.98,-29.44,-0.29,53.94,78.30,1.98,1.96,,alpha_v2,v2.1.0
2xzas2tu,rejected,short,1707282000000,,45565.30,45403.87,45665.29773461851,45365.29773461851,1.89,161.43,,,,,,htf_alignment,alpha_v2,v2.1.0
ha8lal68,executed,long,1707919200000,1707938100000,46070.81,45988.21,45970.805691043075,46270.805691043075,0.27,-82.60,-0.83,44.78,133.71,0.77,0.54,,alpha_v2,v2.1.0
e8eonupd,executed,short,1709475300000,1709496000000,45715.00,45579.81,45815.00280437855,45515.00280437855,2.43,135.19,1.35,40.59,116.51,1.68,4.86,,alpha_v2,v2.1.0
fhyx4dzn,executed,short,1711882800000,1711911600000,45445.31,45256.49,45545.30685059743,45245.30685059743,1.70,188.82,1.89,12.13,33.85,1.33,3.40,,alpha_v2,v2.1.0
d2dmn0fi,executed,long,1706261400000,1706289300000,44368.65,44570.93,44268.64906589532,44568.64906589532,0.79,202.28,2.02,77.23,149.30,0.57,1.58,,alpha_v2,v2.1.0
5370lrg6,rejected,long,1710848700000,,44387.12,44261.84,44287.1173932647,44587.1173932647,1.84,-125.28,,,,,,htf_alignment,alpha_v2,v2.1.0
ouwcqfxx,executed,long,1708515900000,1708543800000,46061.60,45943.30,45961.598790525,46261.598790525,0.19,-118.30,-1.18,56.98,114.33,1.73,0.38,,alpha_v2,v2.1.0
6pz7vu19,executed,long,1708965000000,1708987500000,45643.72,45512.18,45543.719107230536,45843.719107230536,1.57,-131.54,-1.32,35.03,88.47,2.15,3.14,,alpha_v2,v2.1.0
